inf_CODs_to_CODt_ratio,inf_MLVSS_to_MLSS_ratio,inf_NH4N_to_TKN_ratio,inf_CODt_to_TKN_ratio,inf_CODs_to_TKN_ratio,ana_CODs_to_CODt_ratio,ana_MLVSS_to_MLSS_ratio,ana_NH4N_to_TKN_ratio,ana_CODt_to_TKN_ratio,ana_CODs_to_TKN_ratio,ana_CODt_removal_pct,ana_CODs_removal_pct,ana_TKN_change_pct,ana_NH4N_change_pct,ana_MLSS_change_pct,ana_MLVSS_change_pct,ana_minus_inf_pH,ana_minus_inf_cond,target_final_CODt_removal_pct,target_final_CODs_removal_pct
0.7985157699443414,0.8961038961038961,0.22321428571428573,24.0625,19.214285714285715,0.23006134969325154,0.934,0.7092198581560284,4.624113475177305,1.0638297872340425,75.80705009276438,93.02973977695167,-25.892857142857146,-300.0,-62.33766233766234,-69.20289855072464,,,93.32096474953617,93.26208178438662
0.9113579212070411,0.8431372549019608,0.1937984496124031,18.496124031007753,16.856589147286822,0.3063063063063063,0.6984126984126984,0.6289308176100629,6.283018867924528,1.9245283018867925,79.06538139145013,92.9638997470683,38.372093023255815,-100.0,-147.05882352941177,-104.65116279069768,3.46,,96.9195305951383,96.80386295700161
0.8973316391359594,0.8555555555555555,0.2233502538071066,19.9746192893401,17.923857868020306,0.32698094282848544,0.746268656716418,0.6216216216216216,6.736486486486487,2.2027027027027026,74.66327827191867,90.76748796374964,24.873096446700508,-109.09090909090908,-48.888888888888886,-29.87012987012987,2.7199999999999998,,97.10292249047015,97.02633814783348
0.9388009991673605,0.8454935622317596,0.8828828828828829,21.63963963963964,20.315315315315317,0.5245098039215687,0.819672131147541,0.7272727272727273,3.9740259740259742,2.0844155844155843,74.52123230641132,85.7649667405765,-38.73873873873874,-14.285714285714285,-30.90128755364807,-26.903553299492383,2.5599999999999996,,94.3796835970025,95.65410199556541
0.5720013364517207,0.6724137931034483,0.234375,46.765625,26.75,0.37659574468085105,0.6946564885496184,0.6912751677852349,6.308724832214765,2.3758389261744965,68.59338456398262,79.32242990654206,-132.8125,-586.6666666666666,-35.51724137931034,-40.0,,,96.02405613097227,95.03504672897196
0.2045012503473187,0.7181818181818181,0.24074074074074073,22.21604938271605,4.54320987654321,0.45244956772334294,0.6622516556291391,0.6940298507462687,5.17910447761194,2.343283582089552,80.71686579605446,57.33695652173913,17.28395061728395,-138.46153846153845,17.636363636363637,24.050632911392405,,,97.304806890803,89.67391304347827
0.8442728442728443,,0.0,19.425,16.4,0.5007610350076104,,0.3401360544217687,4.469387755102041,2.238095238095238,57.72200772200772,74.92378048780488,-83.75,,,,,,93.5006435006435,92.75914634146342
0.46329113924050636,0.9068627450980392,0.16080402010050251,13.894472361809045,6.437185929648241,0.4294330518697226,0.85,0.3380281690140845,5.838028169014085,2.507042253521127,70.01808318264014,72.20921155347385,28.643216080402013,-50.0,75.49019607843137,77.02702702702703,,,96.09403254972875,91.95940671350508
0.8173391494002181,,0.16923076923076924,28.215384615384615,23.06153846153846,0.40811153358681873,,0.2748091603053435,6.022900763358779,2.4580152671755724,56.979280261723005,78.51901267511674,-101.53846153846153,-227.27272727272728,,,,,91.43947655398037,90.06004002668445
0.9883923389437028,,0.28270042194092826,14.540084388185655,14.371308016877638,0.32614213197969544,,0.3347826086956522,3.4260869565217393,1.117391304347826,77.1329077190946,92.45449207281268,2.9535864978902953,-14.925373134328357,,,,,96.48868253047011,96.79976512037581
0.9688073394495413,,,12.386363636363637,12.0,0.37098344693281404,,,4.584821428571429,1.7008928571428572,5.779816513761468,63.92045454545454,-154.54545454545453,,,,,,88.62385321100918,89.29924242424242
0.9771812080536912,0.8676470588235294,0.5294117647058824,17.529411764705884,17.129411764705882,0.7567567567567568,0.974,0.3755274261603376,3.590717299578059,2.717299578059072,42.88590604026846,55.769230769230774,-178.82352941176472,-97.77777777777777,-47.05882352941176,-65.08474576271186,,,91.00671140939596,91.82692307692307
0.9328406868072158,0.8992443324937027,0.21717171717171718,23.237373737373737,21.67676767676768,0.4669987546699875,0.8785046728971962,,,,82.54727233210171,91.26281453867661,,-188.37209302325581,-34.76070528967254,-31.652661064425768,3.3600000000000003,2.3600000000000003,97.10932405998696,97.18080149114631
0.7637092366551285,0.88,0.21285140562248997,22.044176706827308,16.835341365461847,0.40805223068552776,0.8333333333333334,0.9,6.126666666666667,2.5,83.25742393878667,91.05438931297711,39.75903614457831,-154.7169811320755,28.000000000000004,31.818181818181817,3.12,0.3100000000000005,97.68628165421752,96.9942748091603
0.9271667880553532,0.8282828282828283,0.3170731707317073,66.97560975609755,62.09756097560975,0.39420289855072466,0.7639751552795031,0.6794258373205742,4.952153110047847,1.9521531100478469,62.3088128186453,83.97486252945797,-409.7560975609756,-992.3076923076924,-103.28282828282829,-87.5,1.6500000000000004,2.7300000000000004,94.17334304442826,94.42262372348782
0.9735370051635112,0.7740585774058577,0.20634920634920634,18.444444444444443,17.956349206349206,0.483695652173913,0.7751572327044025,0.7391304347826086,5.333333333333333,2.579710144927536,84.16523235800344,92.13259668508287,45.23809523809524,-96.15384615384616,-166.10878661087867,-166.48648648648648,-0.7999999999999989,-2.219999999999999,97.09552495697073,97.12707182320443
0.9352910602910602,0.9038461538461539,,,,0.5509090909090909,0.7702702702702703,0.828125,4.296875,2.3671875,85.70686070686071,91.58099472075577,,-76.66666666666667,43.07692307692308,51.48936170212765,1.6500000000000004,2.63,97.2972972972973,97.304806890803
0.7589670014347202,0.897119341563786,0.3269230769230769,26.807692307692307,20.346153846153847,0.49658703071672355,0.82,0.7570093457943925,5.4766355140186915,2.7196261682242993,57.96269727403156,72.49527410207939,-105.76923076923077,-376.4705882352941,-23.456790123456788,-12.844036697247708,3.06,1.1099999999999994,93.0416068866571,91.96597353497165
